광역시도,시도,full,ID,y,x
강원도,강릉시,강원도 강릉시 ,강릉,3,11
강원도,고성군,강원도 고성군 ,고성(강원),0,10
강원도,동해시,강원도 동해시 ,동해,4,11
강원도,삼척시,강원도 삼척시 ,삼척,5,11
강원도,속초시,강원도 속초시 ,속초,1,10
강원도,양구군,강원도 양구군 ,양구,0,9
강원도,양양군,강원도 양양군 ,양양,2,10
강원도,영월군,강원도 영월군 ,영월,7,10
강원도,원주시,강원도 원주시 ,원주,5,10
강원도,인제군,강원도 인제군 ,인제,1,8
강원도,정선군,강원도 정선군 ,정선,3,10
강원도,철원군,강원도 철원군 ,철원,0,7
강원도,춘천시,강원도 춘천시 ,춘천,1,9
강원도,태백시,강원도 태백시 ,태백,4,10
강원도,평창군,강원도 평창군 ,평창,6,10
강원도,홍천군,강원도 홍천군 ,홍천,2,8
강원도,화천군,강원도 화천군 ,화천,0,8
강원도,횡성군,강원도 횡성군 ,횡성,2,9
경기도,가평군,경기도 가평군 ,가평,3,7
경기도,과천시,경기도 과천시 ,과천,7,8
경기도,광명시,경기도 광명시 ,광명,4,4
경기도,광주시,경기도 광주시 ,광주,7,9
경기도,구리시,경기도 구리시 ,구리,3,8
경기도,군포시,경기도 군포시 ,군포,9,5
경기도,권선구,경기도 권선구 ,수원 권선,10,5
경기도,기흥구,경기도 기흥구 ,용인 기흥,9,8
경기도,김포시,경기도 김포시 ,김포,3,4
경기도,남양주시,경기도 남양주시 ,남양주,2,7
경기도,단원구,경기도 단원구 ,안산 단원,8,3
경기도,덕양구,경기도 덕양구 ,고양 덕양,2,3
경기도,동두천시,경기도 동두천시 ,동두천,1,4
경기도,동안구,경기도 동안구 ,안양 동안,5,3
경기도,만안구,경기도 만안구 ,안양 만안,4,3
경기도,분당구,경기도 분당구 ,성남 분당,8,7
경기도,상록구,경기도 상록구 ,안산 상록,7,3
경기도,소사구,경기도 소사구 ,부천 소사,4,2
경기도,수정구,경기도 수정구 ,성남 수정,8,8
경기도,수지구,경기도 수지구 ,용인 수지,8,9
경기도,시흥시,경기도 시흥시 ,시흥,6,3
경기도,안성시,경기도 안성시 ,안성,10,4
경기도,양주시,경기도 양주시 ,양주,1,3
경기도,양평군,경기도 양평군 ,양평,4,9
경기도,여주시,경기도 여주시 ,여주,5,9
경기도,연천군,경기도 연천군 ,연천,1,5
경기도,영통구,경기도 영통구 ,수원 영통,9,7
경기도,오산시,경기도 오산시 ,오산,10,3
경기도,오정구,경기도 오정구 ,부천 오정,6,2
경기도,원미구,경기도 원미구 ,부천 원미,5,2
경기도,의왕시,경기도 의왕시 ,의왕,9,6
경기도,의정부시,경기도 의정부시 ,의정부,1,7
경기도,이천시,경기도 이천시 ,이천,6,9
경기도,일산동구,경기도 일산동구 ,고양 일산동,2,4
경기도,일산서구,경기도 일산서구 ,고양 일산서,3,3
경기도,장안구,경기도 장안구 ,수원 장안,10,6
경기도,중원구,경기도 중원구 ,성남 중원,7,7
경기도,처인구,경기도 처인구 ,용인 처인,9,9
경기도,파주시,경기도 파주시 ,파주,3,2
경기도,팔달구,경기도 팔달구 ,수원 팔달,11,6
경기도,평택시,경기도 평택시 ,평택,11,4
경기도,포천시,경기도 포천시 ,포천,1,6
경기도,하남시,경기도 하남시 ,하남,3,9
경기도,화성시,경기도 화성시 ,화성,9,3
경상남도,거제시,경상남도 거제시 ,거제,22,8
경상남도,거창군,경상남도 거창군 ,거창,16,6
경상남도,고성군,경상남도 고성군 ,고성(경남),22,7
경상남도,김해시,경상남도 김해시 ,김해,20,9
경상남도,남해군,경상남도 남해군 ,남해,22,6
경상남도,마산합포구,경상남도 마산합포구 ,창원 합포,19,8
경상남도,마산회원구,경상남도 마산회원구 ,창원 회원,21,7
경상남도,밀양시,경상남도 밀양시 ,밀양,17,8
경상남도,사천시,경상남도 사천시 ,사천,21,6
경상남도,산청군,경상남도 산청군 ,산청,19,5
경상남도,성산구,경상남도 성산구 ,창원 성산,20,7
경상남도,양산시,경상남도 양산시 ,양산,19,7
경상남도,의령군,경상남도 의령군 ,의령,18,7
경상남도,의창구,경상남도 의창구 ,창원 의창,20,6
경상남도,진주시,경상남도 진주시 ,진주,18,6
경상남도,진해구,경상남도 진해구 ,창원 진해,20,8
경상남도,창녕군,경상남도 창녕군 ,창녕,17,7
경상남도,통영시,경상남도 통영시 ,통영,21,8
경상남도,하동군,경상남도 하동군 ,하동,20,5
경상남도,함안군,경상남도 함안군 ,함안,19,6
경상남도,함양군,경상남도 함양군 ,함양,17,6
경상남도,합천군,경상남도 합천군 ,합천,16,7
경상북도,경산시,경상북도 경산시 ,경산,12,11
경상북도,경주시,경상북도 경주시 ,경주,12,12
경상북도,고령군,경상북도 고령군 ,고령,13,9
경상북도,구미시,경상북도 구미시 ,구미,10,10
경상북도,군위군,경상북도 군위군 ,군위,11,10
경상북도,김천시,경상북도 김천시 ,김천,11,9
경상북도,남구,경상북도 남구 ,포항 남구,11,12
경상북도,문경시,경상북도 문경시 ,문경,8,10
경상북도,봉화군,경상북도 봉화군 ,봉화,8,11
경상북도,북구,경상북도 북구 ,포항 북구,10,12
경상북도,상주시,경상북도 상주시 ,상주,11,8
경상북도,성주군,경상북도 성주군 ,성주,13,11
경상북도,안동시,경상북도 안동시 ,안동,9,10
경상북도,영덕군,경상북도 영덕군 ,영덕,7,11
경상북도,영양군,경상북도 영양군 ,영양,9,11
경상북도,영주시,경상북도 영주시 ,영주,10,9
경상북도,영천시,경상북도 영천시 ,영천,12,10
경상북도,예천군,경상북도 예천군 ,예천,10,8
경상북도,울릉군,경상북도 울릉군 ,울릉,8,13
경상북도,울진군,경상북도 울진군 ,울진,6,11
경상북도,의성군,경상북도 의성군 ,의성,11,11
경상북도,청도군,경상북도 청도군 ,청도,13,10
경상북도,청송군,경상북도 청송군 ,청송,10,11
경상북도,칠곡군,경상북도 칠곡군 ,칠곡,12,9
광주광역시,광산구,광주광역시 광산구 ,광주 광산,21,2
광주광역시,남구,광주광역시 남구 ,광주 남구,23,2
광주광역시,동구,광주광역시 동구 ,광주 동구,23,3
광주광역시,북구,광주광역시 북구 ,광주 북구,22,3
광주광역시,서구,광주광역시 서구 ,광주 서구,22,2
대구광역시,남구,대구광역시 남구 ,대구 남구,15,9
대구광역시,달서구,대구광역시 달서구 ,대구 달서,16,8
대구광역시,달성군,대구광역시 달성군 ,대구 달성,16,9
대구광역시,동구,대구광역시 동구 ,대구 동구,15,10
대구광역시,북구,대구광역시 북구 ,대구 북구,14,8
대구광역시,서구,대구광역시 서구 ,대구 서구,15,8
대구광역시,수성구,대구광역시 수성구 ,대구 수성,14,10
대구광역시,중구,대구광역시 중구 ,대구 중구,14,9
대전광역시,대덕구,대전광역시 대덕구 ,대전 대덕,13,5
대전광역시,동구,대전광역시 동구 ,대전 동구,14,5
대전광역시,서구,대전광역시 서구 ,대전 서구,16,4
대전광역시,유성구,대전광역시 유성구 ,대전 유성,15,4
대전광역시,중구,대전광역시 중구 ,대전 중구,15,5
부산광역시,강서구,부산광역시 강서구 ,부산 강서,18,8
부산광역시,금정구,부산광역시 금정구 ,부산 금정,16,10
부산광역시,기장군,부산광역시 기장군 ,부산 기장,16,12
부산광역시,남구,부산광역시 남구 ,부산 남구,19,11
부산광역시,동구,부산광역시 동구 ,부산 동구,18,10
부산광역시,동래구,부산광역시 동래구 ,부산 동래,16,11
부산광역시,부산진구,부산광역시 부산진구 ,부산 부산진,17,10
부산광역시,북구,부산광역시 북구 ,부산 북구,17,9
부산광역시,사상구,부산광역시 사상구 ,부산 사상,18,9
부산광역시,사하구,부산광역시 사하구 ,부산 사하,19,10
부산광역시,서구,부산광역시 서구 ,부산 서구,19,9
부산광역시,수영구,부산광역시 수영구 ,부산 수영,20,11
부산광역시,연제구,부산광역시 연제구 ,부산 연제,17,11
부산광역시,영도구,부산광역시 영도구 ,부산 영도,20,10
부산광역시,중구,부산광역시 중구 ,부산 중구,18,11
부산광역시,해운대구,부산광역시 해운대구 ,부산 해운대,17,12
서울특별시,강남구,서울특별시 강남구 ,서울 강남,8,6
서울특별시,강동구,서울특별시 강동구 ,서울 강동,5,8
서울특별시,강북구,서울특별시 강북구 ,서울 강북,3,5
서울특별시,강서구,서울특별시 강서구 ,서울 강서,6,4
서울특별시,관악구,서울특별시 관악구 ,서울 관악,7,5
서울특별시,광진구,서울특별시 광진구 ,서울 광진,6,7
서울특별시,구로구,서울특별시 구로구 ,서울 구로,9,4
서울특별시,금천구,서울특별시 금천구 ,서울 금천,8,5
서울특별시,노원구,서울특별시 노원구 ,서울 노원,2,6
서울특별시,도봉구,서울특별시 도봉구 ,서울 도봉,2,5
서울특별시,동대문구,서울특별시 동대문구 ,서울 동대문,4,7
서울특별시,동작구,서울특별시 동작구 ,서울 동작,6,5
서울특별시,마포구,서울특별시 마포구 ,서울 마포,5,5
서울특별시,서대문구,서울특별시 서대문구 ,서울 서대문,4,5
서울특별시,서초구,서울특별시 서초구 ,서울 서초,7,6
서울특별시,성동구,서울특별시 성동구 ,서울 성동,5,7
서울특별시,성북구,서울특별시 성북구 ,서울 성북,3,6
서울특별시,송파구,서울특별시 송파구 ,서울 송파,6,8
서울특별시,양천구,서울특별시 양천구 ,서울 양천,7,4
서울특별시,영등포구,서울특별시 영등포구 ,서울 영등포,8,4
서울특별시,용산구,서울특별시 용산구 ,서울 용산,6,6
서울특별시,은평구,서울특별시 은평구 ,서울 은평,5,4
서울특별시,종로구,서울특별시 종로구 ,서울 종로,4,6
서울특별시,중구,서울특별시 중구 ,서울 중구,5,6
서울특별시,중랑구,서울특별시 중랑구 ,서울 중랑,4,8
세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시 ,세종,13,4
울산광역시,남구,울산광역시 남구 ,울산 남구,15,12
울산광역시,동구,울산광역시 동구 ,울산 동구,14,12
울산광역시,북구,울산광역시 북구 ,울산 북구,13,12
울산광역시,울주군,울산광역시 울주군 ,울산 울주,14,11
울산광역시,중구,울산광역시 중구 ,울산 중구,15,11
인천광역시,강화군,인천광역시 강화군 ,인천 강화,5,1
인천광역시,계양구,인천광역시 계양구 ,인천 계양,7,2
인천광역시,남구,인천광역시 남구 ,인천 남구,9,2
인천광역시,남동구,인천광역시 남동구 ,인천 남동,10,2
인천광역시,동구,인천광역시 동구 ,인천 동구,7,1
인천광역시,부평구,인천광역시 부평구 ,인천 부평,8,2
인천광역시,서구,인천광역시 서구 ,인천 서구,6,1
인천광역시,연수구,인천광역시 연수구 ,인천 연수,10,1
인천광역시,옹진군,인천광역시 옹진군 ,인천 옹진,10,0
인천광역시,중구,인천광역시 중구 ,인천 중구,9,1
전라남도,강진군,전라남도 강진군 ,강진,24,1
전라남도,고흥군,전라남도 고흥군 ,고흥,22,5
전라남도,곡성군,전라남도 곡성군 ,곡성,21,3
전라남도,광양시,전라남도 광양시 ,광양,21,5
전라남도,구례군,전라남도 구례군 ,구례,20,4
전라남도,나주시,전라남도 나주시 ,나주,22,1
전라남도,담양군,전라남도 담양군 ,담양,20,2
전라남도,목포시,전라남도 목포시 ,목포,22,0
전라남도,무안군,전라남도 무안군 ,무안,21,1
전라남도,보성군,전라남도 보성군 ,보성,24,3
전라남도,순천시,전라남도 순천시 ,순천,22,4
전라남도,신안군,전라남도 신안군 ,신안,21,0
전라남도,여수시,전라남도 여수시 ,여수,23,4
전라남도,영광군,전라남도 영광군 ,영광,19,1
전라남도,영암군,전라남도 영암군 ,영암,23,1
전라남도,완도군,전라남도 완도군 ,완도,25,2
전라남도,장성군,전라남도 장성군 ,장성,19,2
전라남도,장흥군,전라남도 장흥군 ,장흥,24,2
전라남도,진도군,전라남도 진도군 ,진도,24,0
전라남도,함평군,전라남도 함평군 ,함평,20,1
전라남도,해남군,전라남도 해남군 ,해남,23,0
전라남도,화순군,전라남도 화순군 ,화순,21,4
전라북도,고창군,전라북도 고창군 ,고창,18,1
전라북도,군산시,전라북도 군산시 ,군산,16,2
전라북도,김제시,전라북도 김제시 ,김제,17,3
전라북도,남원시,전라북도 남원시 ,남원,18,5
전라북도,덕진구,전라북도 덕진구 ,전주 덕진,18,3
전라북도,무주군,전라북도 무주군 ,무주,16,5
전라북도,부안군,전라북도 부안군 ,부안,17,2
전라북도,순창군,전라북도 순창군 ,순창,20,3
전라북도,완산구,전라북도 완산구 ,전주 완산,19,3
전라북도,완주군,전라북도 완주군 ,완주,17,4
전라북도,익산시,전라북도 익산시 ,익산,16,3
전라북도,임실군,전라북도 임실군 ,임실,19,4
전라북도,장수군,전라북도 장수군 ,장수,17,5
전라북도,정읍시,전라북도 정읍시 ,정읍,18,2
전라북도,진안군,전라북도 진안군 ,진안,18,4
제주특별자치도,서귀포시,제주특별자치도 서귀포시 ,서귀포,26,5
제주특별자치도,제주시,제주특별자치도 제주시 ,제주,25,5
충청남도,계룡시,충청남도 계룡시 ,계룡,14,4
충청남도,공주시,충청남도 공주시 ,공주,12,4
충청남도,금산군,충청남도 금산군 ,금산,15,3
충청남도,논산시,충청남도 논산시 ,논산,14,3
충청남도,당진시,충청남도 당진시 ,당진,12,1
충청남도,동남구,충청남도 동남구 ,천안 동남,11,2
충청남도,보령시,충청남도 보령시 ,보령,13,2
충청남도,부여군,충청남도 부여군 ,부여,14,2
충청남도,서북구,충청남도 서북구 ,천안 서북,11,3
충청남도,서산시,충청남도 서산시 ,서산,13,1
충청남도,서천군,충청남도 서천군 ,서천,15,2
충청남도,아산시,충청남도 아산시 ,아산,11,1
충청남도,예산군,충청남도 예산군 ,예산,12,3
충청남도,청양군,충청남도 청양군 ,청양,13,3
충청남도,태안군,충청남도 태안군 ,태안,11,0
충청남도,홍성군,충청남도 홍성군 ,홍성,12,2
충청북도,괴산군,충청북도 괴산군 ,괴산,12,8
충청북도,단양군,충청북도 단양군 ,단양,11,7
충청북도,보은군,충청북도 보은군 ,보은,13,8
충청북도,상당구,충청북도 상당구 ,청주 상당,14,6
충청북도,서원구,충청북도 서원구 ,청주 서원,14,7
충청북도,영동군,충청북도 영동군 ,영동,15,7
충청북도,옥천군,충청북도 옥천군 ,옥천,15,6
충청북도,음성군,충청북도 음성군 ,음성,11,5
충청북도,제천시,충청북도 제천시 ,제천,10,7
충청북도,증평군,충청북도 증평군 ,증평,13,6
충청북도,진천군,충청북도 진천군 ,진천,12,5
충청북도,청원구,충청북도 청원구 ,청주 청원,13,7
충청북도,충주시,충청북도 충주시 ,충주,12,6
충청북도,흥덕구,충청북도 흥덕구 ,청주 흥덕,12,7